cluster_id,count,area,center,indices
13,7,"[np.float64(40.477608), np.float64(-3.901343), np.float64(40.519037), np.float64(-3.844084)]","[np.float64(40.50149285714286), np.float64(-3.880757142857143)]",[ 106  351 3112 3594 3619 4318 4760]
14,25,"[np.float64(40.951891), np.float64(117.8991433), np.float64(41.0129699), np.float64(117.9723099)]","[np.float64(40.986111732), np.float64(117.93781036800002)]","[ 146  649 1225 1255 1468 2064 2193 2929 2950 3037 3206 3366 3517 4007
 4723 5138 5198 6076 6158 6394 7722 7732 8229 9442 9807]"
15,19,"[np.float64(25.235337), np.float64(110.052664), np.float64(25.348971), np.float64(110.299573)]","[np.float64(25.273640052631578), np.float64(110.22650494736843)]","[ 175  750 1912 2147 2211 2556 2670 2759 2842 4135 4510 5445 5497 6438
 6493 7799 8176 8857 9341]"
16,10,"[np.float64(7.875635), np.float64(98.338714), np.float64(8.132104), np.float64(98.39321)]","[np.float64(7.979165499999999), np.float64(98.3661327)]",[ 195 3399 3782 5902 5999 6297 7261 7530 8646 9408]
17,6,"[np.float64(37.364496), np.float64(110.771836), np.float64(37.417577), np.float64(110.779591)]","[np.float64(37.40769816666667), np.float64(110.77359483333333)]",[ 197 1012 2501 5313 6510 8850]
18,10,"[np.float64(22.234292406), np.float64(114.087344244), np.float64(22.34891894), np.float64(114.195490679)]","[np.float64(22.2750696085), np.float64(114.16738298119999)]",[ 203 1337 1816 2829 4589 5235 6515 8315 9558 9588]
19,10,"[np.float64(22.5322449), np.float64(113.8809166), np.float64(22.5782299), np.float64(114.0756616)]","[np.float64(22.54385261), np.float64(113.97835181)]",[ 212  514  613 2540 3421 5136 5572 5910 6053 9917]
20,9,"[np.float64(27.639090306), np.float64(117.920029884), np.float64(27.688737827), np.float64(117.986883042)]","[np.float64(27.656768166666666), np.float64(117.95780627822222)]",[ 213 1242 2223 2998 3547 4658 5371 8312 8587]
21,7,"[np.float64(42.348676902), np.float64(-71.116631078), np.float64(42.374565893), np.float64(-71.0461816)]","[np.float64(42.35931164871429), np.float64(-71.09281957757143)]",[ 215 2058 4325 4549 6136 6415 7016]
22,12,"[np.float64(31.795107), np.float64(117.240671666667), np.float64(31.970625), np.float64(117.310074)]","[np.float64(31.881599805555556), np.float64(117.27206986111116)]",[ 241  299  407  958 3111 3124 3134 4102 5695 6260 6497 8485]
23,7,"[np.float64(38.85359), np.float64(115.466051666667), np.float64(38.9446433333333), np.float64(115.559966666667)]","[np.float64(38.89329576190476), np.float64(115.50763509523814)]",[ 251  579 2224 3961 4654 5077 6535]
24,5,"[np.float64(32.710574), np.float64(-117.175407), np.float64(32.716923), np.float64(-117.15858)]","[np.float64(32.712906600000004), np.float64(-117.16629660000001)]",[ 273 8983 9229 9400 9787]
25,74,"[np.float64(39.743997), np.float64(119.274436), np.float64(40.0358049), np.float64(119.8168516)]","[np.float64(39.83680610720721), np.float64(119.49406217027027)]","[ 281  320  496  671  957 1062 1185 1204 1511 1634 1740 1769 1894 1973
 2157 2437 2542 3039 3262 3313 3513 3548 3811 4047 4066 4162 4363 4385
 4419 4503 4688 4727 5417 5704 5816 5846 5972 5978 6051 6116 6281 6379
 6427 6589 6682 6715 6951 6952 7022 7220 7280 7411 7436 7582 7625 7688
 7916 7924 8077 8091 8173 8239 8245 8426 8642 8811 8824 9041 9160 9219
 9414 9510 9717 9962]"
26,12,"[np.float64(25.096636), np.float64(110.391856), np.float64(25.193682), np.float64(110.439611)]","[np.float64(25.130289083333334), np.float64(110.42581500000001)]",[ 286 2948 3473 3979 4562 4700 5111 6836 9032 9455 9683 9942]
27,10,"[np.float64(48.852184), np.float64(2.289058), np.float64(48.871456), np.float64(2.355697)]","[np.float64(48.8622285), np.float64(2.3307371)]",[ 311 1724 1941 2008 5053 5678 6057 7499 7641 9119]
28,5,"[np.float64(36.9848233), np.float64(111.8208116), np.float64(37.063343), np.float64(111.9266766)]","[np.float64(37.01765456), np.float64(111.86147667999998)]",[ 316 1617 1870 2740 8218]
29,6,"[np.float64(31.999384), np.float64(120.842872), np.float64(32.047833), np.float64(121.005325)]","[np.float64(32.013001833333334), np.float64(120.88903499999999)]",[ 353 3424 8127 9205 9605 9606]
30,13,"[np.float64(23.433023901), np.float64(120.484853105), np.float64(23.517558005), np.float64(120.810549458)]","[np.float64(23.465204863692307), np.float64(120.6648992383077)]",[ 357  469 2128 4626 4724 4820 4971 6931 7052 7444 8402 8581 9812]
31,22,"[np.float64(40.0671516), np.float64(116.8945083), np.float64(40.264828), np.float64(117.2768633)]","[np.float64(40.153763372727276), np.float64(117.1011286590909)]","[ 381  930 2248 2287 2410 2909 3190 3280 3536 3708 4208 4209 4244 4842
 4984 7495 7500 8230 8616 8751 9835 9854]"
32,43,"[np.float64(31.16996), np.float64(121.392695), np.float64(31.321978), np.float64(121.547365)]","[np.float64(31.2320311158217), np.float64(121.4635326114961)]","[ 427  738  881  932 1115 1153 1290 1440 1674 1708 1762 1918 2035 2126
 2325 2881 3090 3420 3791 3832 4087 4101 4822 5087 5114 5798 6400 6428
 6955 7010 7118 7567 7930 8281 8580 8669 8880 8966 9011 9103 9500 9777
 9994]"
33,6,"[np.float64(37.351008), np.float64(-121.938204), np.float64(37.371902), np.float64(-121.91597)]","[np.float64(37.363172), np.float64(-121.92316533333333)]",[ 471 1388 6615 7427 8016 9736]
34,29,"[np.float64(30.157795316), np.float64(120.047075), np.float64(30.308006), np.float64(120.34988)]","[np.float64(30.24284560586207), np.float64(120.1957382757931)]","[ 474  625 1007 1540 1545 1642 2637 2968 3257 3446 3572 4672 5462 5939
 5975 6061 6607 6983 7021 7232 7325 7675 7806 8164 8231 8521 9401 9468
 9618]"
35,20,"[np.float64(30.544183), np.float64(103.943739965), np.float64(30.7558866), np.float64(104.1400549)]","[np.float64(30.672406074799994), np.float64(104.0521099715)]","[ 490  894 1165 1449 2630 3096 3177 3541 3779 4491 5190 5601 5649 6011
 6639 6643 7011 8998 9617 9927]"
36,11,"[np.float64(32.086993), np.float64(118.722261), np.float64(32.115687), np.float64(118.880727)]","[np.float64(32.09800235454546), np.float64(118.77718266363635)]",[ 520 1146 1829 3283 4002 4867 5092 8023 8344 8803 9566]
37,17,"[np.float64(34.209475), np.float64(108.897823), np.float64(34.294267), np.float64(108.963891)]","[np.float64(34.253815352941174), np.float64(108.93325123529411)]","[ 523 1151 2171 2583 2836 4286 4350 4892 6291 7207 7241 7731 7850 7996
 8160 8505 9339]"
38,5,"[np.float64(28.192288), np.float64(112.971953333333), np.float64(28.304025), np.float64(113.008265)]","[np.float64(28.2242936), np.float64(112.99945506666661)]",[ 534 4773 5072 6729 9429]
39,24,"[np.float64(38.873501), np.float64(121.529255), np.float64(38.928631), np.float64(121.6471116)]","[np.float64(38.900339241666664), np.float64(121.57200705833333)]","[ 540  900  969  987 1046 1133 1564 1770 2088 2201 2292 3115 3228 3258
 3670 3783 4657 5171 6192 8142 8858 8933 9044 9924]"
40,13,"[np.float64(39.344204), np.float64(118.621779), np.float64(39.509611), np.float64(118.676868)]","[np.float64(39.45194323076923), np.float64(118.65686030769228)]",[ 590 2496 2765 3726 3807 4772 5741 7738 7955 8370 8528 8700 9173]
41,6,"[np.float64(39.736544), np.float64(118.0523583), np.float64(39.8224966666667), np.float64(118.21879)]","[np.float64(39.79289182777779), np.float64(118.15760727222217)]",[ 646 1021 3362 4514 7693 8442]
42,14,"[np.float64(36.524996), np.float64(101.743303), np.float64(36.647231), np.float64(102.045498)]","[np.float64(36.588157571428574), np.float64(101.87783857142858)]",[ 659  963 2438 3356 3640 4035 4169 4347 6393 7553 8097 8455 8934 8955]
43,8,"[np.float64(13.366754), np.float64(103.846498), np.float64(13.507902), np.float64(103.941447)]","[np.float64(13.404595125), np.float64(103.868626875)]",[ 855 3662 5289 6772 6842 7079 8818 9982]
44,5,"[np.float64(33.31218), np.float64(116.2984), np.float64(33.32754), np.float64(116.318118)]","[np.float64(33.3181338), np.float64(116.30586799999999)]",[ 908 5587 6525 7423 9117]
45,5,"[np.float64(34.63534), np.float64(92.864013), np.float64(34.713901), np.float64(92.905835)]","[np.float64(34.667447200000005), np.float64(92.8830042)]",[ 931 1465 2607 3098 6016]
46,5,"[np.float64(24.486147651), np.float64(117.61841958), np.float64(24.542927442), np.float64(117.795717413)]","[np.float64(24.514877927599997), np.float64(117.695747216)]",[ 948 1687 2798 2837 7324]
47,14,"[np.float64(25.503043), np.float64(110.050548), np.float64(25.751449), np.float64(110.13418)]","[np.float64(25.62545635714286), np.float64(110.07415214285716)]",[ 990 1408 3061 3187 3581 4059 4691 6050 6660 6710 7485 8216 8703 9516]
48,6,"[np.float64(43.658183), np.float64(7.148664), np.float64(43.702927), np.float64(7.266622)]","[np.float64(43.682206), np.float64(7.228520499999999)]",[1020 1608 2726 3593 7948 8731]
49,5,"[np.float64(26.388926), np.float64(111.564832), np.float64(26.442251), np.float64(111.620389)]","[np.float64(26.399640599999998), np.float64(111.60925460000001)]",[1125 4069 7922 9364 9743]
50,8,"[np.float64(37.515704), np.float64(126.93992), np.float64(37.574204), np.float64(126.985277)]","[np.float64(37.561125875), np.float64(126.977130375)]",[1235 3776 4051 6005 8159 8767 8879 9053]
51,7,"[np.float64(26.2782583), np.float64(116.3356799), np.float64(26.3406049), np.float64(116.3821433)]","[np.float64(26.309088757142856), np.float64(116.34647755714286)]",[1277 4476 4661 4694 7538 8921 9086]
52,7,"[np.float64(41.86942), np.float64(117.676348), np.float64(42.011248), np.float64(117.801553)]","[np.float64(41.93369237142857), np.float64(117.7548737)]",[ 740 1342 2629 2980 7466 8619 9957]
53,6,"[np.float64(32.001), np.float64(119.580021), np.float64(32.056461), np.float64(119.58712)]","[np.float64(32.0125925), np.float64(119.58567233333332)]",[1369 4989 6481 7472 8553 9744]
54,11,"[np.float64(37.45683), np.float64(116.239494), np.float64(37.710708), np.float64(116.414215)]","[np.float64(37.57344205454546), np.float64(116.34291023636364)]",[1496 1758 3101 3230 3644 5195 6461 7090 8234 8295 9733]
55,8,"[np.float64(38.095235), np.float64(114.5683583), np.float64(38.33075), np.float64(114.67591)]","[np.float64(38.234763783333335), np.float64(114.62243641041663)]",[1572 3962 4799 4829 5516 6414 6465 7844]
56,18,"[np.float64(22.8028516666667), np.float64(108.27387), np.float64(22.82877), np.float64(108.36298)]","[np.float64(22.814730259259264), np.float64(108.33079705555556)]","[1754 2527 2773 2911 4184 4249 4716 4985 5010 5520 6205 6585 7634 7928
 8102 8115 8184 8996]"
57,6,"[np.float64(33.613765), np.float64(-118.090967), np.float64(33.738915), np.float64(-117.92961)]","[np.float64(33.67225), np.float64(-118.01618366666668)]",[1755 6378 7063 8929 9331 9653]
58,11,"[np.float64(36.03642), np.float64(114.331255), np.float64(36.257144), np.float64(114.343986)]","[np.float64(36.111340775757576), np.float64(114.33674165454545)]",[1937 3290 3913 3928 4262 5362 6178 7934 8547 9148 9368]
59,5,"[np.float64(25.003689474), np.float64(121.423655606), np.float64(25.041909545), np.float64(121.544156049)]","[np.float64(25.0310764982), np.float64(121.4967288518)]",[ 766 2077 4340 8536 9056]
60,16,"[np.float64(24.442687006), np.float64(118.058838904), np.float64(24.484632504), np.float64(118.120697015)]","[np.float64(24.454567731375), np.float64(118.0725816549375)]","[2183 3274 3603 4359 4959 5333 5731 5957 6548 7145 7646 7749 9001 9654
 9811 9996]"
61,5,"[np.float64(35.101006), np.float64(93.040733), np.float64(35.180556), np.float64(93.053216)]","[np.float64(35.136092), np.float64(93.04459560000001)]",[2214 2783 7215 8278 9748]
62,11,"[np.float64(43.847221), np.float64(125.272898333333), np.float64(43.900285), np.float64(125.338915)]","[np.float64(43.881972424242434), np.float64(125.30312509090909)]",[2246 2943 3643 3735 3896 6070 7536 8373 9761 9894 9908]
63,5,"[np.float64(28.6118299), np.float64(115.8721866), np.float64(28.7292883), np.float64(115.91984)]","[np.float64(28.676863280000003), np.float64(115.89298328)]",[ 597 2271 7562 8650 9380]
64,13,"[np.float64(33.907212), np.float64(-118.45066), np.float64(34.140634), np.float64(-118.337005)]","[np.float64(34.04182776923077), np.float64(-118.36941646153848)]",[2363 2887 3538 3669 5164 5248 5688 6023 6166 6491 8565 8638 9590]
65,8,"[np.float64(1.28202), np.float64(103.83292), np.float64(1.348832), np.float64(103.984443)]","[np.float64(1.29657445), np.float64(103.8691935375)]",[  71 2499 3236 3449 4894 4965 6673 7054]
66,5,"[np.float64(25.89808), np.float64(114.9518816), np.float64(25.9163566), np.float64(115.0491383)]","[np.float64(25.9091203), np.float64(115.02552125999998)]",[2725 2785 6231 6274 8713]
67,7,"[np.float64(44.927368), np.float64(-93.236105), np.float64(44.978792), np.float64(-93.166957)]","[np.float64(44.957399714285714), np.float64(-93.20103199999998)]",[2853 3425 4268 4744 6601 6978 9746]
68,5,"[np.float64(41.7549466), np.float64(123.3904583), np.float64(41.8485333333333), np.float64(123.465626666667)]","[np.float64(41.79949662666666), np.float64(123.42871129333341)]",[2812 2875 3897 8197 8604]
69,7,"[np.float64(41.2469233), np.float64(117.67584), np.float64(41.369678), np.float64(117.769801)]","[np.float64(41.32873884285714), np.float64(117.74179557142857)]",[2859 2947 3346 4010 4092 5115 8378]
70,5,"[np.float64(36.056651), np.float64(120.303214), np.float64(36.063794), np.float64(120.362887)]","[np.float64(36.0612316), np.float64(120.3229918)]",[3144 4425 5329 5429 9411]
71,10,"[np.float64(29.821583), np.float64(121.463048), np.float64(29.887143), np.float64(121.605892)]","[np.float64(29.866807799999997), np.float64(121.54860480000002)]",[3200 3742 4678 5725 5968 7751 8107 8875 9526 9824]
72,5,"[np.float64(38.5308265686035), np.float64(114.969352722168), np.float64(38.624586), np.float64(115.0393799)]","[np.float64(38.5914510337207), np.float64(115.0169231244336)]",[2045 3525 5033 5521 8984]
73,4,"[np.float64(38.066562), np.float64(114.407806), np.float64(38.1109683), np.float64(114.483818)]","[np.float64(38.082883474999996), np.float64(114.4577568)]",[3870 4118 7437 7682]
74,5,"[np.float64(41.823163), np.float64(12.404039), np.float64(41.905062), np.float64(12.48555)]","[np.float64(41.882842200000006), np.float64(12.4617846)]",[3887 5989 7081 7724 9830]
75,8,"[np.float64(41.574353), np.float64(117.760053), np.float64(41.771581), np.float64(117.896443)]","[np.float64(41.683437274999996), np.float64(117.8291819125)]",[1793 1879 3944 5941 6471 6538 9026 9972]
76,5,"[np.float64(37.805727), np.float64(113.348795), np.float64(37.870413), np.float64(113.499795)]","[np.float64(37.8485596), np.float64(113.4404764)]",[ 100 4150 6647 8554 8608]
77,4,"[np.float64(47.786394), np.float64(-122.233441), np.float64(47.882277), np.float64(-122.198651)]","[np.float64(47.8376115), np.float64(-122.22207325)]",[1157 2492 4173 8153]
78,6,"[np.float64(23.009735), np.float64(113.722041), np.float64(23.039825), np.float64(113.765095)]","[np.float64(23.018226499999997), np.float64(113.73454499999998)]",[4288 4955 5948 7141 7531 7999]
79,5,"[np.float64(43.763206), np.float64(11.157817), np.float64(43.826813), np.float64(11.264577)]","[np.float64(43.783891800000006), np.float64(11.236429)]",[2541 3592 4473 5784 8258]
80,5,"[np.float64(39.72049), np.float64(117.330612), np.float64(39.760464), np.float64(117.4771583)]","[np.float64(39.73424192), np.float64(117.40713811999998)]",[3217 4682 4705 6026 9629]
81,7,"[np.float64(26.88729), np.float64(112.539865), np.float64(26.925927), np.float64(112.630844)]","[np.float64(26.89914271428572), np.float64(112.59233400000001)]",[6456 6721 7497 7700 8043 9636 9648]
82,5,"[np.float64(37.02301), np.float64(116.458904), np.float64(37.14105), np.float64(116.566285)]","[np.float64(37.0856278), np.float64(116.51617000000002)]",[1743 4484 6463 6670 9816]
83,5,"[np.float64(43.91395), np.float64(11.128708), np.float64(43.985215), np.float64(11.215817)]","[np.float64(43.959028599999996), np.float64(11.1936326)]",[ 386 2439 4194 9907 9977]
